TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T3,1,PDL,A,N2,3,71.2,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,A,N2,4,66.5,14,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,A,N2,5,85.5,17,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,1,
T3,1,PDL,A,N2,6,71.2,13,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T3,1,PDL,A,N2,7,78,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,A,N2,8,75.5,16,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,A,N2,9,86.7,18,3,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,,,,1,,4,2,5,0,,,,,1,
T3,1,PDL,B,N2,1,72.5,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,B,N2,2,65.2,21,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T3,1,PDL,B,N2,3,83.2,29,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T3,1,PDL,B,N2,4,71,18,3,1,,5,0,,,,,,,2,,5,0,,,,,,,3,1,5,0,,,,,,,4,2,5,0,,,,1,,
T3,1,PDL,B,N2,5,78.2,27,4,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,,,1,,,4,2,5,0,,,,1,,
T3,1,PDL,B,N2,6,71.3,18,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T3,1,PDL,B,N2,7,92.5,22,3,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,,,1,,,4,2,5,0,,,,1,,
